meal_name,carb,meat,vege,fruit,type,vegan,allergy,time
Vege Taco,corn tortilla,None,lettuce,None,wrap,no,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,yes,egg,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,no,egg,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,yes,egg,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,no,egg,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,yes,egg,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,no,egg,Breakfast
Chicken Taco,corn tortilla,chicken,tomato,None,wrap,no,None,Breakfast
Beef Taco,corn tortilla,beef,tomato,None,wrap,no,None,Breakfast
Pork Taco,corn tortilla,pork,tomato,None,wrap,no,None,Breakfast
Salmon Taco,corn tortilla,salmon,tomato,None,wrap,no,None,Breakfast
Turkey Taco,corn tortilla,turkey,tomato,None,wrap,no,None,Breakfast
Tuna Taco,corn tortilla,tuna,tomato,None,wrap,no,None,Breakfast
Shrimp Taco,corn tortilla,shrimp,tomato,None,wrap,no,None,Breakfast
Chicken Taco,corn tortilla,chicken,lettuce,None,wrap,no,None,Breakfast
Beef Taco,corn tortilla,beef,lettuce,None,wrap,no,None,Breakfast
Pork Taco,corn tortilla,pork,lettuce,None,wrap,no,None,Breakfast
Salmon Taco,corn tortilla,salmon,lettuce,None,wrap,no,None,Breakfast
Turkey Taco,corn tortilla,turkey,lettuce,None,wrap,no,None,Breakfast
Tuna Taco,corn tortilla,tuna,lettuce,None,wrap,no,None,Breakfast
Shrimp Taco,corn tortilla,shrimp,lettuce,None,wrap,no,None,Breakfast
Chicken Taco,corn tortilla,chicken,spinach,None,wrap,no,None,Breakfast
Beef Taco,corn tortilla,beef,spinach,None,wrap,no,None,Breakfast
Pork Taco,corn tortilla,pork,spinach,None,wrap,no,None,Breakfast
Salmon Taco,corn tortilla,salmon,spinach,None,wrap,no,None,Breakfast
Turkey Taco,corn tortilla,turkey,spinach,None,wrap,no,None,Breakfast
Tuna Taco,corn tortilla,tuna,spinach,None,wrap,no,None,Breakfast
Shrimp Taco,corn tortilla,shrimp,spinach,None,wrap,no,None,Breakfast
Chicken Taco,corn tortilla,chicken,tomato,None,wrap,no,egg,Breakfast
Beef Taco,corn tortilla,beef,tomato,None,wrap,no,egg,Breakfast
Pork Taco,corn tortilla,pork,tomato,None,wrap,no,egg,Breakfast
Salmon Taco,corn tortilla,salmon,tomato,None,wrap,no,egg,Breakfast
Turkey Taco,corn tortilla,turkey,tomato,None,wrap,no,egg,Breakfast
Tuna Taco,corn tortilla,tuna,tomato,None,wrap,no,egg,Breakfast
Shrimp Taco,corn tortilla,shrimp,tomato,None,wrap,no,egg,Breakfast
Chicken Taco,corn tortilla,chicken,lettuce,None,wrap,no,egg,Breakfast
Beef Taco,corn tortilla,beef,lettuce,None,wrap,no,egg,Breakfast
Pork Taco,corn tortilla,pork,lettuce,None,wrap,no,egg,Breakfast
Salmon Taco,corn tortilla,salmon,lettuce,None,wrap,no,egg,Breakfast
Turkey Taco,corn tortilla,turkey,lettuce,None,wrap,no,egg,Breakfast
Tuna Taco,corn tortilla,tuna,lettuce,None,wrap,no,egg,Breakfast
Shrimp Taco,corn tortilla,shrimp,lettuce,None,wrap,no,egg,Breakfast
Chicken Taco,corn tortilla,chicken,spinach,None,wrap,no,egg,Breakfast
Beef Taco,corn tortilla,beef,spinach,None,wrap,no,egg,Breakfast
Pork Taco,corn tortilla,pork,spinach,None,wrap,no,egg,Breakfast
Salmon Taco,corn tortilla,salmon,spinach,None,wrap,no,egg,Breakfast
Turkey Taco,corn tortilla,turkey,spinach,None,wrap,no,egg,Breakfast
Tuna Taco,corn tortilla,tuna,spinach,None,wrap,no,egg,Breakfast
Shrimp Taco,corn tortilla,shrimp,spinach,None,wrap,no,egg,Breakfast
Chicken Taco,corn tortilla,chicken,tomato,None,wrap,no,bean/nuts,Breakfast
Beef Taco,corn tortilla,beef,tomato,None,wrap,no,bean/nuts,Breakfast
Pork Taco,corn tortilla,pork,tomato,None,wrap,no,bean/nuts,Breakfast
Salmon Taco,corn tortilla,salmon,tomato,None,wrap,no,bean/nuts,Breakfast
Turkey Taco,corn tortilla,turkey,tomato,None,wrap,no,bean/nuts,Breakfast
Tuna Taco,corn tortilla,tuna,tomato,None,wrap,no,bean/nuts,Breakfast
Shrimp Taco,corn tortilla,shrimp,tomato,None,wrap,no,bean/nuts,Breakfast
Chicken Taco,corn tortilla,chicken,lettuce,None,wrap,no,bean/nuts,Breakfast
Beef Taco,corn tortilla,beef,lettuce,None,wrap,no,bean/nuts,Breakfast
Pork Taco,corn tortilla,pork,lettuce,None,wrap,no,bean/nuts,Breakfast
Salmon Taco,corn tortilla,salmon,lettuce,None,wrap,no,bean/nuts,Breakfast
Turkey Taco,corn tortilla,turkey,lettuce,None,wrap,no,bean/nuts,Breakfast
Tuna Taco,corn tortilla,tuna,lettuce,None,wrap,no,bean/nuts,Breakfast
Shrimp Taco,corn tortilla,shrimp,lettuce,None,wrap,no,bean/nuts,Breakfast
Chicken Taco,corn tortilla,chicken,spinach,None,wrap,no,bean/nuts,Breakfast
Beef Taco,corn tortilla,beef,spinach,None,wrap,no,bean/nuts,Breakfast
Pork Taco,corn tortilla,pork,spinach,None,wrap,no,bean/nuts,Breakfast
Salmon Taco,corn tortilla,salmon,spinach,None,wrap,no,bean/nuts,Breakfast
Turkey Taco,corn tortilla,turkey,spinach,None,wrap,no,bean/nuts,Breakfast
Tuna Taco,corn tortilla,tuna,spinach,None,wrap,no,bean/nuts,Breakfast
Shrimp Taco,corn tortilla,shrimp,spinach,None,wrap,no,bean/nuts,Breakfast
Chicken Taco,corn tortilla,chicken,tomato,None,wrap,no,seafood,Breakfast
Beef Taco,corn tortilla,beef,tomato,None,wrap,no,seafood,Breakfast
Pork Taco,corn tortilla,pork,tomato,None,wrap,no,seafood,Breakfast
Turkey Taco,corn tortilla,turkey,tomato,None,wrap,no,seafood,Breakfast
Chicken Taco,corn tortilla,chicken,lettuce,None,wrap,no,seafood,Breakfast
Beef Taco,corn tortilla,beef,lettuce,None,wrap,no,seafood,Breakfast
Pork Taco,corn tortilla,pork,lettuce,None,wrap,no,seafood,Breakfast
Turkey Taco,corn tortilla,turkey,lettuce,None,wrap,no,seafood,Breakfast
Chicken Taco,corn tortilla,chicken,spinach,None,wrap,no,seafood,Breakfast
Beef Taco,corn tortilla,beef,spinach,None,wrap,no,seafood,Breakfast
Pork Taco,corn tortilla,pork,spinach,None,wrap,no,seafood,Breakfast
Turkey Taco,corn tortilla,turkey,spinach,None,wrap,no,seafood,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,yes,gluten,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,yes,gluten,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,no,gluten,Breakfast
Chicken Taco,corn tortilla,chicken,tomato,None,wrap,no,gluten,Breakfast
Beef Taco,corn tortilla,beef,tomato,None,wrap,no,gluten,Breakfast
Pork Taco,corn tortilla,pork,tomato,None,wrap,no,gluten,Breakfast
Salmon Taco,corn tortilla,salmon,tomato,None,wrap,no,gluten,Breakfast
Turkey Taco,corn tortilla,turkey,tomato,None,wrap,no,gluten,Breakfast
Tuna Taco,corn tortilla,tuna,tomato,None,wrap,no,gluten,Breakfast
Shrimp Taco,corn tortilla,shrimp,tomato,None,wrap,no,gluten,Breakfast
Chicken Taco,corn tortilla,chicken,lettuce,None,wrap,no,gluten,Breakfast
